Country Name,Country Code,Year,Value
Europe & Central Asia (excluding high income),ECA,1960,
Europe & Central Asia (excluding high income),ECA,1961,
Europe & Central Asia (excluding high income),ECA,1962,
Europe & Central Asia (excluding high income),ECA,1963,
Europe & Central Asia (excluding high income),ECA,1964,
Europe & Central Asia (excluding high income),ECA,1965,
Europe & Central Asia (excluding high income),ECA,1966,
Europe & Central Asia (excluding high income),ECA,1967,
Europe & Central Asia (excluding high income),ECA,1968,
Europe & Central Asia (excluding high income),ECA,1969,
Europe & Central Asia (excluding high income),ECA,1970,
Europe & Central Asia (excluding high income),ECA,1971,
Europe & Central Asia (excluding high income),ECA,1972,
Europe & Central Asia (excluding high income),ECA,1973,
Europe & Central Asia (excluding high income),ECA,1974,
Europe & Central Asia (excluding high income),ECA,1975,
Europe & Central Asia (excluding high income),ECA,1976,
Europe & Central Asia (excluding high income),ECA,1977,
Europe & Central Asia (excluding high income),ECA,1978,
Europe & Central Asia (excluding high income),ECA,1979,
Europe & Central Asia (excluding high income),ECA,1980,
Europe & Central Asia (excluding high income),ECA,1981,
Europe & Central Asia (excluding high income),ECA,1982,
Europe & Central Asia (excluding high income),ECA,1983,
Europe & Central Asia (excluding high income),ECA,1984,
Europe & Central Asia (excluding high income),ECA,1985,
Europe & Central Asia (excluding high income),ECA,1986,
Europe & Central Asia (excluding high income),ECA,1987,
Europe & Central Asia (excluding high income),ECA,1988,2346.33728600418
Europe & Central Asia (excluding high income),ECA,1989,2258.62794739807
Europe & Central Asia (excluding high income),ECA,1990,2385.81305091379
Europe & Central Asia (excluding high income),ECA,1991,2302.94908703482
Europe & Central Asia (excluding high income),ECA,1992,2118.67986182354
Europe & Central Asia (excluding high income),ECA,1993,2093.00222604028
Europe & Central Asia (excluding high income),ECA,1994,1811.34384823495
Europe & Central Asia (excluding high income),ECA,1995,1942.34842807688
Europe & Central Asia (excluding high income),ECA,1996,1960.0897497075
Europe & Central Asia (excluding high income),ECA,1997,2036.58152621713
Europe & Central Asia (excluding high income),ECA,1998,1908.5508163639
Europe & Central Asia (excluding high income),ECA,1999,1603.4990501328
Europe & Central Asia (excluding high income),ECA,2000,1787.93436173906
Europe & Central Asia (excluding high income),ECA,2001,1777.25765305891
Europe & Central Asia (excluding high income),ECA,2002,2037.87565622389
Europe & Central Asia (excluding high income),ECA,2003,2569.422995266
Europe & Central Asia (excluding high income),ECA,2004,3399.62597291373
Europe & Central Asia (excluding high income),ECA,2005,4307.03858434645
Europe & Central Asia (excluding high income),ECA,2006,5279.33901967704
Europe & Central Asia (excluding high income),ECA,2007,6826.28002994146
Europe & Central Asia (excluding high income),ECA,2008,8430.33429041673
Europe & Central Asia (excluding high income),ECA,2009,6595.33735667261
Europe & Central Asia (excluding high income),ECA,2010,7836.43351199425
Europe & Central Asia (excluding high income),ECA,2011,9626.4385551604
Europe & Central Asia (excluding high income),ECA,2012,10149.0129750981
Europe & Central Asia (excluding high income),ECA,2013,10717.6603584304
Europe & Central Asia (excluding high income),ECA,2014,9927.5582774143
Europe & Central Asia (excluding high income),ECA,2015,7557.49969532734
Europe & Central Asia (excluding high income),ECA,2016,7189.2864598437
Europe & Central Asia (excluding high income),ECA,2017,8026.77331662083
Europe & Central Asia (excluding high income),ECA,2018,8213.36006618727
Europe & Central Asia (excluding high income),ECA,2019,8343.55043110518
Europe & Central Asia (excluding high income),ECA,2020,7668.52434410423
Kazakhstan,KAZ,1960,
Kazakhstan,KAZ,1961,
Kazakhstan,KAZ,1962,
Kazakhstan,KAZ,1963,
Kazakhstan,KAZ,1964,
Kazakhstan,KAZ,1965,
Kazakhstan,KAZ,1966,
Kazakhstan,KAZ,1967,
Kazakhstan,KAZ,1968,
Kazakhstan,KAZ,1969,
Kazakhstan,KAZ,1970,
Kazakhstan,KAZ,1971,
Kazakhstan,KAZ,1972,
Kazakhstan,KAZ,1973,
Kazakhstan,KAZ,1974,
Kazakhstan,KAZ,1975,
Kazakhstan,KAZ,1976,
Kazakhstan,KAZ,1977,
Kazakhstan,KAZ,1978,
Kazakhstan,KAZ,1979,
Kazakhstan,KAZ,1980,
Kazakhstan,KAZ,1981,
Kazakhstan,KAZ,1982,
Kazakhstan,KAZ,1983,
Kazakhstan,KAZ,1984,
Kazakhstan,KAZ,1985,
Kazakhstan,KAZ,1986,
Kazakhstan,KAZ,1987,
Kazakhstan,KAZ,1988,
Kazakhstan,KAZ,1989,
Kazakhstan,KAZ,1990,1647.46324337761
Kazakhstan,KAZ,1991,1514.92309359658
Kazakhstan,KAZ,1992,1515.73765903177
Kazakhstan,KAZ,1993,1429.07817700902
Kazakhstan,KAZ,1994,1316.18362895297
Kazakhstan,KAZ,1995,1288.18851938364
Kazakhstan,KAZ,1996,1350.30567027224
Kazakhstan,KAZ,1997,1445.50323686938
Kazakhstan,KAZ,1998,1468.66929119877
Kazakhstan,KAZ,1999,1130.11784403033
Kazakhstan,KAZ,2000,1229.00124667231
Kazakhstan,KAZ,2001,1490.92708987166
Kazakhstan,KAZ,2002,1658.03078544636
Kazakhstan,KAZ,2003,2068.12397936842
Kazakhstan,KAZ,2004,2874.28848272999
Kazakhstan,KAZ,2005,3771.27895733845
Kazakhstan,KAZ,2006,5291.57530451457
Kazakhstan,KAZ,2007,6771.41479681885
Kazakhstan,KAZ,2008,8458.01715432982
Kazakhstan,KAZ,2009,7165.22317483703
Kazakhstan,KAZ,2010,9070.48825285747
Kazakhstan,KAZ,2011,11634.0012021103
Kazakhstan,KAZ,2012,12386.6992652963
Kazakhstan,KAZ,2013,13890.6309562926
Kazakhstan,KAZ,2014,12807.2606866152
Kazakhstan,KAZ,2015,10510.7718884149
Kazakhstan,KAZ,2016,7714.84184376024
Kazakhstan,KAZ,2017,9247.58133129626
